[2025-03-31 19:48:06.311] [info]  [response] Delete body /home/alberto/.config/Insomnia/responses/a2572b3c-117a-44d3-8948-da12b4c8368d.response
[2025-03-31 19:48:06.312] [info]  [response] Delete timeline /home/alberto/.config/Insomnia/responses/res_e9d43cc34aeb4c7385614b19d5a3c2d8.timeline
[2025-03-31 19:48:10.587] [info]  [main] window blur
[2025-03-31 19:48:22.212] [info]  [main] window focus
[2025-03-31 19:48:22.728] [info]  [main] window blur
[2025-03-31 19:58:25.671] [info]  [main] window focus
[2025-03-31 19:58:28.599] [info]  [response] Delete body /home/alberto/.config/Insomnia/responses/c7bd654f-b5e8-478d-b22e-1e875a18d04d.response
[2025-03-31 19:58:28.600] [info]  [response] Delete timeline /home/alberto/.config/Insomnia/responses/res_3d245c0c52c04391bf3137ace32d4337.timeline
[2025-03-31 19:58:30.257] [info]  [response] Delete body /home/alberto/.config/Insomnia/responses/37b5ab8c-6225-48f1-be62-2ae51e808ec9.response
[2025-03-31 19:58:30.259] [info]  [response] Delete timeline /home/alberto/.config/Insomnia/responses/res_d3bb790cc9bd4687aeb414857eff1253.timeline
[2025-03-31 19:58:31.133] [info]  [response] Delete body /home/alberto/.config/Insomnia/responses/b55fa1bf-0f46-464e-a40e-536ffabe0b50.response
[2025-03-31 19:58:31.134] [info]  [response] Delete timeline /home/alberto/.config/Insomnia/responses/res_8f05e30721fe401da5d394c2db1cdc1b.timeline
[2025-03-31 19:58:32.137] [info]  [response] Delete body /home/alberto/.config/Insomnia/responses/2c7ca75d-2e47-48c6-a946-6322909293a3.response
[2025-03-31 19:58:32.138] [info]  [response] Delete timeline /home/alberto/.config/Insomnia/responses/res_49bb5a23233b44f59ebe45d9d795ef99.timeline
[2025-03-31 19:58:33.103] [info]  [response] Delete body /home/alberto/.config/Insomnia/responses/86e348e1-14ef-4e30-b95b-b677c9bcc8a3.response
[2025-03-31 19:58:33.103] [info]  [response] Delete timeline /home/alberto/.config/Insomnia/responses/res_347c9d12633f43ecbff108ab99276e3e.timeline
[2025-03-31 19:58:34.107] [info]  [response] Delete body /home/alberto/.config/Insomnia/responses/e97e0a78-cac0-4934-9b4a-29bd30aef9a9.response
[2025-03-31 19:58:34.109] [info]  [response] Delete timeline /home/alberto/.config/Insomnia/responses/res_789a8ddca5b544e1b37f13f51e0be869.timeline
[2025-03-31 19:58:39.235] [info]  [main] window blur
[2025-03-31 19:58:46.232] [info]  [main] window focus
[2025-03-31 19:58:47.933] [info]  [main] window blur
[2025-03-31 19:59:00.149] [info]  [main] window focus
[2025-03-31 19:59:09.409] [info]  [response] Delete body /home/alberto/.config/Insomnia/responses/368eb916-02c3-40cc-baf0-772c1334e4c2.response
[2025-03-31 19:59:09.410] [info]  [response] Delete timeline /home/alberto/.config/Insomnia/responses/res_73c73084b2134adf80175cb28c2d42da.timeline
[2025-03-31 19:59:13.501] [info]  [response] Delete body /home/alberto/.config/Insomnia/responses/2704380e-40fb-4177-a361-ac9a17153eba.response
[2025-03-31 19:59:13.502] [info]  [response] Delete timeline /home/alberto/.config/Insomnia/responses/res_d67f183d89954f5985a6003b1d418f63.timeline
[2025-03-31 19:59:17.663] [info]  [response] Delete timeline /home/alberto/.config/Insomnia/responses/res_f3c93a375d3f477b94ecc4891d977f1f.timeline
[2025-03-31 19:59:17.664] [info]  [response] Delete body /home/alberto/.config/Insomnia/responses/ff083b6a-8eac-40bb-88c6-9ad3ce49986c.response
[2025-03-31 19:59:24.691] [info]  [response] Delete timeline /home/alberto/.config/Insomnia/responses/res_82eaed3304e64a0ebf1bdeebea630f0a.timeline
[2025-03-31 19:59:24.692] [info]  [response] Delete body /home/alberto/.config/Insomnia/responses/da30b168-4cde-42ce-8182-9e8a78bf0f97.response
[2025-03-31 19:59:27.888] [info]  [main] window blur
[2025-03-31 19:59:45.011] [info]  [main] window focus
[2025-03-31 19:59:51.479] [info]  [response] Delete timeline /home/alberto/.config/Insomnia/responses/res_18e2b126e8a34a1b81bb73927afc9bf5.timeline
[2025-03-31 19:59:51.480] [info]  [response] Delete body /home/alberto/.config/Insomnia/responses/e0e9b256-a5b6-4f1e-985a-cce83134819d.response
[2025-03-31 20:00:05.887] [info]  [response] Delete body /home/alberto/.config/Insomnia/responses/d61320d2-b54b-46cf-9934-42f726d23b39.response
[2025-03-31 20:00:05.887] [info]  [response] Delete timeline /home/alberto/.config/Insomnia/responses/res_c6646f9f1af34ccf8d70d5d3a840a8d6.timeline
[2025-03-31 20:00:18.574] [info]  [response] Delete body /home/alberto/.config/Insomnia/responses/638ac901-143b-4fa8-8c0e-39b4552ca59a.response
[2025-03-31 20:00:18.574] [info]  [response] Delete timeline /home/alberto/.config/Insomnia/responses/res_57637ea0f1984068988de72afbb12a6d.timeline
[2025-03-31 20:00:29.129] [info]  [main] window blur
[2025-03-31 22:15:49.024] [info]  [main] window focus
[2025-03-31 22:15:52.404] [info]  [main] window blur
[2025-03-31 23:05:42.610] [info]  [main] window focus
[2025-03-31 23:05:50.343] [info]  [main] window blur
[2025-03-31 23:05:50.344] [info]  [main] window focus
