[2025-03-01 23:10:03.571] [info]  [main] window blur
[2025-03-01 23:16:49.697] [info]  [main] window focus
[2025-03-01 23:16:50.132] [info]  [main] window blur
[2025-03-01 23:27:29.825] [info]  [main] window focus
[2025-03-01 23:27:30.750] [info]  [main] window blur
[2025-03-01 23:30:18.678] [info]  [main] window focus
[2025-03-01 23:30:19.139] [info]  [main] window blur
[2025-03-01 23:32:10.444] [info]  [main] window focus
[2025-03-01 23:32:10.823] [info]  [main] window blur
[2025-03-01 23:43:06.800] [info]  [main] window focus
[2025-03-01 23:43:07.428] [info]  [main] window blur
[2025-03-01 23:44:49.074] [info]  [main] window focus
[2025-03-01 23:44:49.631] [info]  [main] window blur
[2025-03-01 23:47:33.272] [info]  [main] window focus
[2025-03-01 23:47:34.082] [info]  [main] window blur
[2025-03-01 23:49:46.885] [info]  [main] window focus
[2025-03-01 23:49:47.327] [info]  [main] window blur
[2025-03-01 23:51:56.666] [info]  [main] window focus
[2025-03-01 23:51:57.173] [info]  [main] window blur
[2025-03-01 23:52:41.105] [info]  [main] window focus
[2025-03-01 23:52:41.585] [info]  [main] window blur
[2025-03-02 00:03:30.772] [info]  [main] window focus
[2025-03-02 00:03:42.100] [info]  [response] Delete body 
[2025-03-02 00:03:42.100] [info]  [response] Delete timeline /home/alberto/.config/Insomnia/responses/res_4cf4fda8bbc346eb8e830f310a191218.timeline
[2025-03-02 00:04:05.634] [info]  [main] window blur
[2025-03-02 00:04:06.123] [info]  [main] window focus
[2025-03-02 00:04:06.826] [info]  [main] window blur
[2025-03-02 00:05:29.185] [info]  [main] window focus
[2025-03-02 00:05:44.217] [info]  [response] Delete body /home/alberto/.config/Insomnia/responses/48d22291-7db2-4965-b677-60eb9b14f71e.response
[2025-03-02 00:05:44.218] [info]  [response] Delete timeline /home/alberto/.config/Insomnia/responses/res_e61a538c6c114ceeaab2279f85b0effd.timeline
[2025-03-02 00:05:45.230] [info]  [main] window blur
[2025-03-02 00:05:51.489] [info]  [main] window focus
[2025-03-02 00:05:55.181] [info]  [response] Delete body /home/alberto/.config/Insomnia/responses/5f1b9000-90f9-4e4b-bb15-a216ac45bfd9.response
[2025-03-02 00:05:55.181] [info]  [response] Delete timeline /home/alberto/.config/Insomnia/responses/res_5d2a0bfafd694c4e9ce52e4dd6e6aebd.timeline
[2025-03-02 00:05:55.873] [info]  [main] window blur
[2025-03-02 00:06:05.689] [info]  [main] window focus
[2025-03-02 00:06:18.516] [info]  [main] window blur
[2025-03-02 00:06:53.711] [info]  [main] window focus
[2025-03-02 00:06:56.371] [info]  [response] Delete body /home/alberto/.config/Insomnia/responses/4f97fe98-9688-4c64-9ddd-da9fe30ca8cd.response
[2025-03-02 00:06:56.372] [info]  [response] Delete timeline /home/alberto/.config/Insomnia/responses/res_d78199c4de924d7ab0a71163dd2b388d.timeline
[2025-03-02 00:06:57.815] [info]  [main] window blur
[2025-03-02 00:07:22.781] [info]  [main] window focus
[2025-03-02 00:07:27.099] [info]  [main] window blur
[2025-03-02 00:07:29.960] [info]  [main] window focus
[2025-03-02 00:07:33.793] [info]  [main] window blur
[2025-03-02 00:07:37.736] [info]  [main] window focus
[2025-03-02 00:07:40.875] [info]  [main] window blur
[2025-03-02 00:07:45.980] [info]  [main] window focus
[2025-03-02 00:07:47.444] [info]  [main] window blur
[2025-03-02 00:10:46.351] [info]  [main] window focus
[2025-03-02 00:11:00.587] [info]  [main] window blur
[2025-03-02 00:11:23.873] [info]  [main] window focus
[2025-03-02 00:11:26.762] [info]  [main] window blur
[2025-03-02 00:11:29.788] [info]  [main] window focus
[2025-03-02 00:11:34.025] [info]  [response] Delete body /home/alberto/.config/Insomnia/responses/83ecd3fa-0121-49fc-a276-293c00b28012.response
[2025-03-02 00:11:34.026] [info]  [response] Delete timeline /home/alberto/.config/Insomnia/responses/res_c04554d3b4b047bbad64bb3cc3eb58cf.timeline
[2025-03-02 00:11:35.260] [info]  [main] window blur
[2025-03-02 00:11:56.258] [info]  [main] window focus
[2025-03-02 00:11:56.730] [info]  [main] window blur
[2025-03-02 00:17:59.270] [info]  [main] window focus
[2025-03-02 00:18:00.072] [info]  [main] window blur
[2025-03-02 00:18:57.588] [info]  [main] window focus
[2025-03-02 00:18:58.241] [info]  [main] window blur
[2025-03-02 00:22:04.849] [info]  [main] window focus
[2025-03-02 00:22:05.974] [info]  [main] window blur
[2025-03-02 00:27:20.663] [info]  [main] window focus
[2025-03-02 00:27:21.041] [info]  [main] window blur
[2025-03-02 00:39:44.472] [info]  [main] window focus
[2025-03-02 00:39:46.135] [info]  [main] window blur
[2025-03-02 00:51:36.222] [info]  [main] window focus
[2025-03-02 00:51:37.125] [info]  [main] window blur
[2025-03-02 00:55:35.033] [info]  [main] window focus
[2025-03-02 00:55:36.656] [info]  [main] window blur
[2025-03-02 00:57:14.928] [info]  [main] window focus
[2025-03-02 00:57:16.164] [info]  [main] window blur
[2025-03-02 00:59:28.734] [info]  [main] window focus
[2025-03-02 00:59:29.414] [info]  [main] window blur
[2025-03-02 01:01:26.085] [info]  [main] window focus
[2025-03-02 01:01:26.960] [info]  [main] window blur
[2025-03-02 01:41:34.093] [info]  [main] window focus
[2025-03-02 01:41:34.863] [info]  [main] window blur
[2025-03-02 03:07:10.568] [info]  [main] window focus
[2025-03-02 03:07:11.795] [info]  [main] window blur
