package.json roots detected: /home/alberto/Desktop/Projects/spring/frontEnd/auth-app
[Info  - 1:46:00 AM] Angular language server process ID: 2303892
[Info  - 1:46:00 AM] Imported typescript/lib/tsserverlibrary is version 5.6.2.
[Error - 1:46:18 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 1:46:18 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 1:46:18 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 1:46:19 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 1:46:27 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 1:46:27 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 1:46:28 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 1:46:28 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 1:46:28 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 1:46:33 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 1:46:33 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 1:46:33 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 1:46:33 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 1:47:19 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 1:47:20 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 1:48:04 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 1:48:04 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 1:48:04 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 1:52:08 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 1:52:08 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 1:52:08 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 1:54:13 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 1:54:13 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 1:54:13 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 1:54:44 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 1:54:44 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 1:54:44 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 2:14:42 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 2:17:20 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 2:17:20 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 2:17:20 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 3:14:34 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 3:14:37 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 3:14:43 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 3:14:46 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
[Error - 3:19:40 AM] No config file for /home/alberto/Desktop/Projects/spring/frontEnd/auth-app/public/index.html
